,0,1,2
122,0391ff76-ff0a-36eb-b472-0387c229d40d.yml,WatchDogy33,"{'maison': {'world': 'world', 'x': -5182.5825860631485, 'y': 64.0, 'z': -4560.111493504122, 'yaw': 64.6526870727539, 'pitch': 20.228395462036133, 'world-name': ''}, 'mesa': {'world': 'world', 'x': 2056.4440687200477, 'y': 90.0, 'z': -5404.378388865722, 'yaw': 3.072044849395752, 'pitch': 2.4575939178466797, 'world-name': ''}, 'jump': {'world': 'Event', 'x': 952.6999999880791, 'y': 18.0, 'z': -1159.16300098676, 'yaw': 327.2149658203125, 'pitch': -4.598385334014893, 'world-name': ''}}"
123,039e3a5a-4d7b-36d3-b1d3-5242e9a66d6b.yml,Elementaria,"{'home': {'world': 'world', 'x': 6025.533282200716, 'y': 73.0, 'z': -2303.53156141473, 'yaw': 238.2040252685547, 'pitch': 46.05012893676758, 'world-name': ''}, 'mine': {'world': 'Ressource', 'x': 306.4098283380518, 'y': 66.0, 'z': -1835.6911598719273, 'yaw': -61.4935302734375, 'pitch': 17.84990119934082, 'world-name': ''}, 'merlin': {'world': 'world', 'x': 63.45473413112502, 'y': 94.0, 'z': 59.34871672470026, 'yaw': -179.2001953125, 'pitch': 14.675655364990234, 'world-name': ''}}"
124,039efe50-8cbe-3297-98bf-7743507cdf51.yml,mazda6,
125,03a41ca8-a71a-3bf8-9c7c-7ba7ba870b07.yml,baltozouzou1,
126,03a70975-a434-3f7d-a697-c8ed09b8da3c.yml,Kazuteru_,
127,03aee619-3d70-3c6f-943d-35ae1390c9b6.yml,hassrol,
128,03b6427e-096b-38b7-84f5-1a6dafe64c9b.yml,ibrahim9253,
129,03b93a7b-c0f2-36ba-bead-c581fa6a5d65.yml,doyduku,
130,03c10442-da32-3aa8-a58a-7d0f3d57e035.yml,war_science,"{'b': {'world': 'world', 'x': -2012.699999988079, 'y': 57.0, 'z': -6313.602658839645, 'yaw': -278.6546630859375, 'pitch': 15.489341735839844, 'world-name': ''}, 'm': {'world': 'Ressource', 'x': 4656.6457656596995, 'y': 9.0, 'z': 2099.300000011921, 'yaw': 20.902774810791016, 'pitch': 41.41502380371094, 'world-name': ''}, 's': {'world': 'world', 'x': -124.20838954621277, 'y': 47.0, 'z': 413.69999998807907, 'yaw': 6.5549421310424805, 'pitch': 35.09231948852539, 'world-name': ''}}"
131,03d3beef-3c70-3ec4-b1f2-6d0f6937515a.yml,Nans,
132,03ddb026-29ab-3a01-8183-b36cae181bd8.yml,doudoudavid,
133,03ec9eec-dcbb-33ed-bfb9-80002cd99d02.yml,MlikFive,
134,03f3c6c9-832c-37c4-8601-3538e953194a.yml,injustice,
135,03f5dcb0-eb2b-34c5-ac37-d9f155841a07.yml,balta,"{'home': {'world': 'world', 'x': 5521.75125500447, 'y': 63.0, 'z': -2243.8766696054736, 'yaw': -118.96964263916016, 'pitch': 40.65073776245117, 'world-name': ''}, 'tortue': {'world': 'Ressource', 'x': 2841.553745301928, 'y': 64.0, 'z': -1842.300000011921, 'yaw': 289.49176025390625, 'pitch': 27.000091552734375, 'world-name': ''}, 'grenier': {'world': 'world', 'x': 5523.110211776864, 'y': 67.0, 'z': -2244.7486949700588, 'yaw': 340.67236328125, 'pitch': 34.350067138671875, 'world-name': ''}}"
136,03f6d0a9-a6de-3d5f-9787-b9b52562b6ef.yml,Acronicus,
137,03ff5c87-3154-3090-a154-59084ea64f0b.yml,dame2coeur,"{'maison': {'world': 'world', 'x': 4261.5, 'y': 67.0, 'z': -3559.5, 'yaw': -84.4947738647461, 'pitch': 31.79996109008789, 'world-name': ''}, 'jungle': {'world': 'world', 'x': 5141.153028741201, 'y': 73.0, 'z': -2079.11261790684, 'yaw': 288.2547912597656, 'pitch': 16.200008392333984, 'world-name': ''}}"
